stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
198062,87 St & 87 Ave,56.23317,-120.82354,0,198062
198005,85 Ave & 86 St,56.23176,-120.82168,0,198005
198048,89 Ave & 86 St,56.2353,-120.82052,0,198048
198049,89 Ave & 82 St,56.23533,-120.81333,0,198049
198050,89 Ave & 78A St,56.23539,-120.80688,0,198050
198051,76 St & 89 Ave,56.23609,-120.80302,0,198051
198052,91 Ave & 77 St,56.23736,-120.80418,0,198052
198053,93 Ave & 78A St,56.23922,-120.80849,0,198053
198054,82 St & 93 Ave,56.23938,-120.81415,0,198054
198055,82 St & 95 Ave,56.24143,-120.81417,0,198055
198056,82 St & 98 Ave,56.24395,-120.81415,0,198056
198006,98 Ave & 86 St,56.24436,-120.82069,0,198006
198057,86 St & 96 Ave,56.24202,-120.8213,0,198057
198042,93 Ave & 86 St,56.23925,-120.82189,0,198042
198063,93 Ave & 94A St,56.23915,-120.83772,0,198063
198007,Totem Mall,56.23735,-120.84206,0,198007
198080,96 St & 97 Ave,56.24343,-120.84013,0,198080
198081,96 St & 99 Ave,56.24522,-120.84012,0,198081
198037,100 Ave & 96 St,56.24657,-120.84193,0,198037
198038,100 Ave & 98 St,56.24655,-120.84448,0,198038
198067,99 Ave & 102 St,56.24547,-120.85144,0,198067
198068,99 Ave & 106 St,56.24547,-120.85697,0,198068
198070,Tahltan Rd & 111 St,56.24137,-120.86716,0,198070
198071,Tahltan Rd & 109 St,56.24018,-120.86352,0,198071
198072,Alaska Rd S & 109 St,56.24037,-120.85855,0,198072
198088,107 St & Beaver Rd,56.23867,-120.85606,0,198088
198073,Cree Rd & 103 St,56.23674,-120.85506,0,198073
198074,Cree Rd & 101 St,56.23559,-120.85175,0,198074
198075,Cree Rd & 100 St,56.23436,-120.84819,0,198075
198086,100 St & Alaska Ave,56.2359,-120.84726,0,198086
198039,100 St & 104 Ave,56.24994,-120.84728,0,198039
198031,110 Ave & 100 St,56.25531,-120.84897,0,198031
198029,111 Ave & 104 St,56.25641,-120.85402,0,198029
198030,106 St & 110 Ave,56.25578,-120.85773,0,198030
198032,106 St & 109 Ave,56.25383,-120.8577,0,198032
198033,106 St & 104 Ave,56.24975,-120.8577,0,198033
198034,106 St & 102 Ave,56.24797,-120.85768,0,198034
198035,100 Ave & 104 St,56.24636,-120.85521,0,198035
198083,86 St & 99 Ave,56.24512,-120.82123,0,198083
198087,96 St & 95 Ave,56.24112,-120.84007,0,198087
198092,98A Ave & 98 St,56.24461,-120.84611,0,198092
198093,105 Ave & 96 St,56.25117,-120.83963,0,198093
198044,Fort St. John Hospital,56.25664,-120.81732,0,198044
198084,Northern Lights College,56.26684,-120.84435,0,198084
198094,110 Ave & 98 St,56.2553,-120.84473,0,198094
198000,100 St & 108 Ave,56.25399,-120.84758,0,198000
198089,100 St & 107 Ave,56.25308,-120.84771,0,198089
198090,100 St & 105 Ave,56.25067,-120.84767,0,198090
198091,100 St & 103 Ave,56.24971,-120.84767,0,198091
198066,96 Ave & 97 St,56.24242,-120.84452,0,198066
198095,90 St & 89 Ave,56.23445,-120.82959,0,198095
198096,89th Ave & 96A Street,56.23577,-120.83838,0,198096
198079,Walmart,56.23602,-120.83597,0,198079
198097,Alaska Rd N & 108 Street,56.24263,-120.86233,0,198097
198082,Alaska Rd N & 112 St,56.24434,-120.86669,0,198082
198098,Tahltan & 113 Street,56.24113,-120.87256,0,198098
198099,100 St & 108 Ave,56.25408,-120.84735,0,198099
