stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
103169,1900 Block Baron,49.8837,-119.42518,0,103169
103186,Baron at Spedding,49.88635,-119.42179,0,103186
103204,Ziprick at Terai,49.88805,-119.4175,0,103204
103222,Hwy 33 at Taylor,49.88903,-119.41316,0,103222
103245,Hwy 33 at Gerstmar,49.88904,-119.40886,0,103245
103264,Hwy 33 at Davie,49.88903,-119.40539,0,103264
103278,Hwy 33 at Barber,49.88902,-119.4018,0,103278
103296,Hwy 33 at Hollywood,49.88896,-119.39876,0,103296
103312,Hwy 33 at Aurora,49.88894,-119.39593,0,103312
140152,Dougall at Hwy 33,49.88942,-119.39279,0,140152
140150,Rutland Exchange,49.89055,-119.39235,0,140150
140164,Shepherd at Roxby,49.89054,-119.38836,0,140164
103373,Rutland at Mugford,49.89296,-119.3868,0,103373
103376,Rutland at Briarwood,49.89433,-119.38683,0,103376
140216,Rutland at Bach,49.89656,-119.3868,0,140216
103384,Rutland at McCurdy,49.90151,-119.38674,0,103384
102863,Rutland at Sumac,49.90388,-119.38677,0,102863
102998,Rutland at Klassen,49.90721,-119.38669,0,102998
140246,Rutland at Rains,49.91049,-119.38661,0,140246
140112,Rutland at Commercial,49.91558,-119.3859,0,140112
140109,Acland at Old Vernon,49.91886,-119.38392,0,140109
140108,Acland at Penno,49.92159,-119.38393,0,140108
140106,Edwards at Hwy 97,49.92447,-119.3858,0,140106
102877,Bernard at Richter,49.88628,-119.48818,0,102877
102893,Bernard at Ethel,49.88627,-119.48235,0,102893
102902,Bernard at Graham,49.88631,-119.47974,0,102902
102915,Bernard at Gordon,49.88625,-119.47605,0,102915
102923,Bernard at Danjou,49.88631,-119.47413,0,102923
102936,Bernard at Richmond,49.88628,-119.47099,0,102936
140056,Bernard at Elm,49.88626,-119.4658,0,140056
102974,Bernard at Burtch,49.88654,-119.46173,0,102974
102728,Spall at Bernard,49.88798,-119.45463,0,102728
103009,Enterprise at Spall,49.88407,-119.45354,0,103009
103036,Enterprise at Enterprise Court,49.88316,-119.45031,0,103036
103050,Enterprise at Hardy,49.88325,-119.44694,0,103050
103058,Enterprise at Cooper,49.88324,-119.44458,0,103058
103073,Orchard Park Exchange,49.8805,-119.44234,0,103073
103105,Enterprise at Dilworth,49.88322,-119.43689,0,103105
103122,Enterprise at Leckie,49.88404,-119.43275,0,103122
103127,Enterprise at Hunter,49.88592,-119.43166,0,103127
140239,Enterprise at Banks,49.88925,-119.42682,0,140239
103002,Hwy 33 at Enterprise,49.8907,-119.42352,0,103002
103354,Leathead at Ford,49.8956,-119.38807,0,103354
103344,Leathead at Pinetree,49.89539,-119.39024,0,103344
103322,Leathead at Tartan,49.89539,-119.39396,0,103322
103287,Leathead at Franklyn,49.89543,-119.40033,0,103287
103288,Franklyn at Pearson,49.89809,-119.40092,0,103288
103292,Franklyn at McCurdy,49.90087,-119.40091,0,103292
103283,McCurdy at Mayfair,49.90129,-119.40309,0,103283
103081,McCurdy at Alsgard,49.90125,-119.40612,0,103081
