stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
111405,Woods at Martin,49.68421,-125.01108,0,111405
134003,5th St at Pidcock Ave,49.68658,-125.00837,0,134003
111432,5th St at Kilpatrick Ave,49.68849,-125.00574,0,111432
111286,Fitzgerald at 5th St,49.69026,-125.00179,0,111286
110537,Balmoral at Anderton Park,49.67432,-124.92246,0,110537
110538,Balmoral at Pritchard,49.67403,-124.91752,0,110538
111352,Balmoral at Donovan,49.67398,-124.91237,0,111352
111353,Torrence at Albatross,49.67556,-124.90882,0,111353
110552,Torrence at Casey,49.67907,-124.90871,0,110552
111355,Torrence at Noel,49.68233,-124.90857,0,111355
111356,Torrence at Hillside,49.68361,-124.90975,0,111356
111357,Torrence at Ridgemount,49.68598,-124.90972,0,111357
111358,Guthrie at Skeena,49.68795,-124.91396,0,111358
111359,Pritchard at Guthrie,49.68764,-124.91707,0,111359
111360,Pritchard at Skeena,49.68512,-124.91701,0,111360
111361,Pritchard at Noel,49.68241,-124.91707,0,111361
111362,Pritchard at Dogwood,49.67976,-124.9171,0,111362
111363,Robb at Stewart,49.67871,-124.91913,0,111363
111364,1700 Blk Robb Ave,49.67948,-124.92241,0,111364
111365,Robb at Megin,49.68037,-124.92546,0,111365
111366,Church at Hemlock,49.68194,-124.92696,0,111366
111367,Noel at Holly,49.68249,-124.93314,0,111367
110559,Back Rd at McDonald,49.68468,-124.95786,0,110559
110561,Back Rd at 10th St E,49.69959,-124.9762,0,110561
111476,NIC / Aquatic Ctr,49.71117,-124.96823,0,111476
103871,2700 Blk Comox Rd,49.68076,-124.97208,0,103871
103870,Comox at Scott,49.67914,-124.96564,0,103870
110545,Comox at Queneesh,49.67812,-124.95792,0,110545
111340,St Joseph's Hospital,49.67547,-124.94173,0,111340
111323,Comox Mall,49.67301,-124.92481,0,111323
111324,Comox at Ellis,49.67468,-124.93024,0,111324
110377,Comox at Scott,49.6792,-124.96534,0,110377
103872,2700 Blk Comox Rd,49.68086,-124.97199,0,103872
111336,Cliffe at 19th St,49.68183,-124.98654,0,111336
111499,Cliffe at Mansfield,49.67871,-124.98429,0,111499
111275,Anfield Centre,49.6683,-124.97996,0,111275
111276,Kilpatrick at 30th St,49.67016,-124.98099,0,111276
111277,Kilpatrick at 29th St,49.67209,-124.98342,0,111277
134005,Kilpatrick at 27th St,49.6735,-124.98503,0,134005
111423,26th St at Kilpatrick Ave,49.67406,-124.98848,0,111423
111412,Piercy at 26th St,49.67356,-124.99204,0,111412
111424,Piercy at 21st St,49.67624,-124.99548,0,111424
111425,Piercy at 18th St,49.67834,-124.99828,0,111425
111426,17th St at Willemar Ave,49.677,-125.0033,0,111426
111427,Cumberland at 16th St,49.67833,-125.00404,0,111427
111428,Cumberland at Piercy,49.6816,-125.00353,0,111428
111429,Piercy at Cumberland,49.68261,-125.0039,0,111429
111430,10th St at Stewart Ave,49.68285,-125.00613,0,111430
111417,10th St at Willemar Ave,49.68126,-125.00911,0,111417
111431,5th St at Urquhart Ave,49.68281,-125.00979,0,111431
110550,Woods at 2nd St,49.68653,-125.01419,0,110550
134008,Guthrie at Pritchard,49.68802,-124.91741,0,134008
111370,Guthrie at Stadacona,49.68848,-124.93785,0,111370
111371,Guthrie at Aspen,49.68856,-124.94253,0,111371
